i,Phrase,CBA,QAN,TLS,TAH,TCL,AFI,BHP,WES,WOW,EGP,SGR,totals
0,"Note: You may require this statement for taxation purposes. All investors should seek independent advice relevant to their own particular circumstances", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
1,"Please ensure your details are current by viewing and updating via the online service centre", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
2,"Payment Advice", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
3,"All Registry communications to", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
4,"C/- Link Market Services Limited", 24,(0.8571428571428571), 15,(0.9375), 24,(0.8571428571428571), 23,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 0,(0.0)
5,"Locked Bag A14, Sydney South, NSW, 1235", 28,(1.0), 15,(0.9375), 24,(0.8571428571428571), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
6,"Telephone: 1300 554 474", 24,(0.8571428571428571), 15,(0.9375), 24,(0.8571428571428571), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
7,"ASX Code: CBA", 28,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0)
8,"Email: registrars@linkmarketservices.com.au", 24,(0.8571428571428571), 15,(0.9375), 24,(0.8571428571428571), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
9,"Website:  www.linkmarketservices.com.au", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
10,"DIVIDEND STATEMENT", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
11,"Reference No", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
12,"X********8886", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
13,"Payment Date", 28,(1.0), 16,(1.0), 28,(1.0), 23,(1.0), 5,(1.0), 1,(0.06666666666666667), 14,(1.0), 11,(0.7333333333333333), 10,(1.0), 4,(1.0), 4,(1.0)
14,"COMMONWEALTH BANK OF AUSTRALIA", 28,(1.0), 10,(0.625), 0,(0.0), 22,(0.9565217391304348), 5,(1.0), 0,(0.0), 0,(0.0), 14,(0.9333333333333333), 0,(0.0), 4,(1.0), 4,(1.0)
15,"ABN: 48 123 123 124", 28,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0)
16,"MS JACQUELINE HILDA HOLLOWAY", 28,(1.0), 16,(1.0), 28,(1.0), 23,(1.0), 5,(1.0), 15,(1.0), 14,(1.0), 15,(1.0), 10,(1.0), 4,(1.0), 4,(1.0)
17,"40 FAIRLAWNS", 24,(0.8571428571428571), 15,(0.9375), 24,(0.8571428571428571), 18,(0.782608695652174), 0,(0.0), 6,(0.4), 6,(0.42857142857142855), 7,(0.4666666666666667), 6,(0.6), 4,(1.0), 0,(0.0)
18,"LANGLEY ROAD", 24,(0.8571428571428571), 15,(0.9375), 24,(0.8571428571428571), 18,(0.782608695652174), 0,(0.0), 6,(0.4), 6,(0.42857142857142855), 7,(0.4666666666666667), 6,(0.6), 4,(1.0), 0,(0.0)
19,"WATFORD WD17 4UH", 24,(0.8571428571428571), 15,(0.9375), 24,(0.8571428571428571), 18,(0.782608695652174), 0,(0.0), 6,(0.4), 6,(0.42857142857142855), 7,(0.4666666666666667), 6,(0.6), 4,(1.0), 0,(0.0)
20,"UNITED KINGDOM", 24,(0.8571428571428571), 15,(0.9375), 24,(0.8571428571428571), 18,(0.782608695652174), 1,(0.2), 7,(0.4666666666666667), 7,(0.5), 8,(0.5333333333333333), 7,(0.7), 4,(1.0), 0,(0.0)
21,"GBR", 24,(0.8571428571428571), 15,(0.9375), 24,(0.8571428571428571), 18,(0.782608695652174), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 0,(0.0)
22,"Record Date", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 5,(1.0), 0,(0.0), 14,(1.0), 11,(0.7333333333333333), 10,(1.0), 4,(1.0), 4,(1.0)
23,"Security Description", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
24,"Dividend Rate", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
25,"per Share", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
26,"Participating", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
27,"Shares", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 7,(0.7), 4,(1.0), 4,(1.0)
28,"Unfranked", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 0,(0.0), 0,(0.0), 14,(1.0), 13,(0.8666666666666667), 5,(0.5), 4,(1.0), 4,(1.0)
29,"Amount", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 0,(0.0), 0,(0.0), 14,(1.0), 13,(0.8666666666666667), 10,(1.0), 4,(1.0), 4,(1.0)
30,"Franked", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 0,(0.0), 0,(0.0), 14,(1.0), 13,(0.8666666666666667), 10,(1.0), 4,(1.0), 4,(1.0)
31,"Total", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 14,(0.9333333333333333), 0,(0.0), 4,(1.0), 4,(1.0)
32,"Payment", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 14,(1.0), 14,(0.9333333333333333), 3,(0.3), 4,(1.0), 4,(1.0)
33,"Franking", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 13,(0.8666666666666667), 7,(0.7), 4,(1.0), 4,(1.0)
34,"Credit", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 13,(0.8666666666666667), 7,(0.7), 4,(1.0), 4,(1.0)
35,"CBA - ORDINARY SHARES", 28,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0)
36,"350", 27,(0.9642857142857143), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0)
37,"Less Withholding Tax", 28,(1.0), 15,(0.9375), 28,(1.0), 21,(0.9130434782608695), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 3,(0.75), 4,(1.0)
38,"Net Amount", 28,(1.0), 15,(0.9375), 28,(1.0), 23,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
39,"Represented By", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
40,"Direct Credit amount", 28,(1.0), 15,(0.9375), 28,(1.0), 21,(0.9130434782608695), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
41,"BANKING INSTRUCTIONS", 28,(1.0), 16,(1.0), 28,(1.0), 21,(0.9130434782608695), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
42,"The amount of", 28,(1.0), 15,(0.9375), 28,(1.0), 22,(0.9565217391304348), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
43,"was deposited to the bank account detailed below", 28,(1.0), 15,(0.9375), 28,(1.0), 21,(0.9130434782608695), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 4,(1.0), 4,(1.0)
44,"CREDIT UNION SERVICES CORP", 28,(1.0), 6,(0.375), 28,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0)
45,"PEOPLE'S CHOICE CU", 24,(0.8571428571428571), 6,(0.375), 24,(0.8571428571428571), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0)
46,"J H HOLLOWAY", 28,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0)
47,"BSB: 805-050        ACC: **5336", 28,(1.0), 6,(0.375), 28,(1.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0), 0,(0.0)
