i,Phrase,CBA,QAN,TLS,totals
0,"Note: You may require this statement for taxation purposes. All investors should seek independent advice relevant to their own particular circumstances",0.3333333333333333,0.3333333333333333,0.3333333333333333
1,"Please ensure your details are current by viewing and updating via the online service centre",0.3333333333333333,0.3333333333333333,0.3333333333333333
2,"Payment Advice",0.3333333333333333,0.3333333333333333,0.3333333333333333
3,"All Registry communications to",0.3333333333333333,0.3333333333333333,0.3333333333333333
4,"C/- Link Market Services Limited",0.3333333333333333,0.3333333333333333,0.3333333333333333
5,"Locked Bag A14, Sydney South, NSW, 1235",0.3333333333333333,0.3333333333333333,0.3333333333333333
6,"Telephone: 1300 554 474",0.3333333333333333,0.3333333333333333,0.3333333333333333
7,"ASX Code: CBA",1.0,0.0,0.0
8,"Email: registrars@linkmarketservices.com.au",0.3333333333333333,0.3333333333333333,0.3333333333333333
9,"Website:  www.linkmarketservices.com.au",0.3333333333333333,0.3333333333333333,0.3333333333333333
10,"DIVIDEND STATEMENT",0.3333333333333333,0.3333333333333333,0.3333333333333333
11,"Reference No",0.3333333333333333,0.3333333333333333,0.3333333333333333
12,"X********8886",0.3333333333333333,0.3333333333333333,0.3333333333333333
13,"Payment Date",0.3333333333333333,0.3333333333333333,0.3333333333333333
14,"COMMONWEALTH BANK OF AUSTRALIA",1.0,0.0,0.0
15,"ABN: 48 123 123 124",1.0,0.0,0.0
16,"MS JACQUELINE HILDA HOLLOWAY",0.3333333333333333,0.3333333333333333,0.3333333333333333
17,"40 FAIRLAWNS",0.3333333333333333,0.3333333333333333,0.3333333333333333
18,"LANGLEY ROAD",0.3333333333333333,0.3333333333333333,0.3333333333333333
19,"WATFORD WD17 4UH",0.3333333333333333,0.3333333333333333,0.3333333333333333
20,"UNITED KINGDOM",0.3333333333333333,0.3333333333333333,0.3333333333333333
21,"GBR",0.3333333333333333,0.3333333333333333,0.3333333333333333
22,"Record Date",0.3333333333333333,0.3333333333333333,0.3333333333333333
23,"Security Description",0.3333333333333333,0.3333333333333333,0.3333333333333333
24,"Dividend Rate",0.3333333333333333,0.3333333333333333,0.3333333333333333
25,"per Share",0.3333333333333333,0.3333333333333333,0.3333333333333333
26,"Participating",0.3333333333333333,0.3333333333333333,0.3333333333333333
27,"Shares",0.3333333333333333,0.3333333333333333,0.3333333333333333
28,"Unfranked",0.3333333333333333,0.3333333333333333,0.3333333333333333
29,"Amount",0.3333333333333333,0.3333333333333333,0.3333333333333333
30,"Franked",0.3333333333333333,0.3333333333333333,0.3333333333333333
31,"Total",0.3333333333333333,0.3333333333333333,0.3333333333333333
32,"Payment",0.3333333333333333,0.3333333333333333,0.3333333333333333
33,"Franking",0.3333333333333333,0.3333333333333333,0.3333333333333333
34,"Credit",0.3333333333333333,0.3333333333333333,0.3333333333333333
35,"CBA - ORDINARY SHARES",1.0,0.0,0.0
36,"350",1.0,0.0,0.0
37,"Less Withholding Tax",0.3333333333333333,0.3333333333333333,0.3333333333333333
38,"Net Amount",0.3333333333333333,0.3333333333333333,0.3333333333333333
39,"Represented By",0.3333333333333333,0.3333333333333333,0.3333333333333333
40,"Direct Credit amount",0.3333333333333333,0.3333333333333333,0.3333333333333333
41,"BANKING INSTRUCTIONS",0.3333333333333333,0.3333333333333333,0.3333333333333333
42,"The amount of",0.3333333333333333,0.3333333333333333,0.3333333333333333
43,"was deposited to the bank account detailed below",0.3333333333333333,0.3333333333333333,0.3333333333333333
44,"CREDIT UNION SERVICES CORP",0.3333333333333333,0.3333333333333333,0.3333333333333333
45,"PEOPLE'S CHOICE CU",0.3333333333333333,0.3333333333333333,0.3333333333333333
46,"J H HOLLOWAY",1.0,0.0,0.0
47,"BSB: 805-050        ACC: **5336",0.3333333333333333,0.3333333333333333,0.3333333333333333
48,"DIRECT CREDIT REFERENCE NO.: 1001912738",1.0,0.0,0.0
49,"The total amount together with the franking credit (if any) should be disclosed as assessable income in your Australian tax return",0.3333333333333333,0.3333333333333333,0.3333333333333333
50,"ASX Code: QAN",0.0,1.0,0.0
51,"QANTAS AIRWAYS LIMITED",0.0,1.0,0.0
52,"ABN: 16 009 661 901",0.0,1.0,0.0
53,"QAN - FULLY PAID ORDINARY",0.0,1.0,0.0
54,"2,600",0.0,1.0,0.0
55,"MRS JACQUELINE HILDA HOLLOWAY",0.0,1.0,0.0
56,"DIRECT CREDIT REFERENCE NO.: 1001989877",0.0,1.0,0.0
57,"ASX Code: TLS",0.0,0.0,1.0
58,"TELSTRA CORPORATION LIMITED",0.0,0.0,1.0
59,"ABN: 33 051 775 556",0.0,0.0,1.0
60,"TLS - FULLY PAID ORDINARY SHARES",0.0,0.0,1.0
61,"1,600",0.0,0.0,1.0
62,"MRS J H HOLLOWAY",0.0,0.0,1.0
63,"DIRECT CREDIT REFERENCE NO.: 1004210269",0.0,0.0,1.0
64,"DIRECT CREDIT REFERENCE NO.: 1007350660",0.0,1.0,0.0

